ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
67,-64.4,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,33,17.5,NaN,Cochlear nucleus (ventral) bushy cell,The magnitudes of hyperpolarization-activated and low-voltage-activated potassium currents co-vary in neurons of the ventral cochlear nucleus.,2011,http://neuroelectro.org/data_table/68/,http://neuroelectro.org/article/4443/metadata/,Oertel D
74,-64.1,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,33,17.5,NaN,Cochlear nucleus (ventral) multipolar T cell,The magnitudes of hyperpolarization-activated and low-voltage-activated potassium currents co-vary in neurons of the ventral cochlear nucleus.,2011,http://neuroelectro.org/data_table/68/,http://neuroelectro.org/article/4443/metadata/,Oertel D
6,-64.5,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,33,17.5,NaN,Cochlear nucleus (ventral) octopus cell,The magnitudes of hyperpolarization-activated and low-voltage-activated potassium currents co-vary in neurons of the ventral cochlear nucleus.,2011,http://neuroelectro.org/data_table/68/,http://neuroelectro.org/article/4443/metadata/,Oertel D
43,-62,10,nan,0.25,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,36,24,NaN,Dentate gyrus basket cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/metadata/,Spruston N
481.4,-67.4,nan,84.3,1.14,-41.8,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,21,NaN,Dentate gyrus basket cell,Tuning afferent synapses of hippocampal interneurons by neuropeptide Y.,2011,http://neuroelectro.org/data_table/15535/,http://neuroelectro.org/article/71631/metadata/,Kokaia M
256.5,-57.5,nan,72.9,1.4,-35,Mice,C57BL,Patch-clamp,in vitro,,NaN,33,52.5,NaN,Dentate gyrus basket cell,Altered profile of basket cell afferent synapses in hyper-excitable dentate gyrus revealed by optogenetic and two-pathway stimulations.,2012,http://neuroelectro.org/data_table/19541/,http://neuroelectro.org/article/76263/metadata/,Kokaia M
292,-75,31,nan,0.87,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,36,24,NaN,Dentate gyrus granule cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/metadata/,Spruston N
102,-77,nan,nan,nan,nan,Rats,Sprague-Dawley,Sharp,in vitro,Corrected,NaN,31,56,NaN,Dentate gyrus granule cell,Reduced inhibition of dentate granule cells in a model of temporal lobe epilepsy.,2003,http://neuroelectro.org/data_table/2789/,http://neuroelectro.org/article/26468/metadata/,Buckmaster PS
170,-75,20,58,0.93,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,35,70,NaN,Dentate gyrus granule cell,Calbindin-D28k content and firing pattern of hippocampal granule cells in amygdala-kindled rats: a perforated patch-clamp study.,2005,http://neuroelectro.org/data_table/26843/,http://neuroelectro.org/article/31863/metadata/,Kral T
305,-79,8.1,nan,nan,-42,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,23,46,175,Dentate gyrus granule cell,Enhanced tonic GABA current in normotopic and hilar ectopic dentate granule cells after pilocarpine-induced status epilepticus.,2009,http://neuroelectro.org/data_table/221/,http://neuroelectro.org/article/32693/metadata/,Nadler JV
